pair_prefix,wav_original,wav_treinado,wav_referencia,f0_rmse_hz_original_vs_ref,f0_rmse_hz_treinado_vs_ref,f0_rmse_hz_vs_base,failure_reason
sentenca_10,checkpoint-10000/inference_batch_20260428_120204/sentenca_10_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_10_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_10_referencia.wav,153.8775529914349,169.2960460231922,66.02965559137485,
sentenca_11,checkpoint-10000/inference_batch_20260428_120204/sentenca_11_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_11_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_11_referencia.wav,168.94280266768564,169.12846699843197,81.14796894950784,
sentenca_12,checkpoint-10000/inference_batch_20260428_120204/sentenca_12_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_12_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_12_referencia.wav,170.01005189895142,180.62978166877863,58.86907822441771,
sentenca_13,checkpoint-10000/inference_batch_20260428_120204/sentenca_13_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_13_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_13_referencia.wav,200.80194557957097,195.38789745429975,86.61255637238388,
sentenca_14,checkpoint-10000/inference_batch_20260428_120204/sentenca_14_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_14_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_14_referencia.wav,152.5378445876188,167.597742070594,47.07757322917964,
sentenca_15,checkpoint-10000/inference_batch_20260428_120204/sentenca_15_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_15_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_15_referencia.wav,101.23160137548616,91.66778596712253,75.81557055639932,
sentenca_16,checkpoint-10000/inference_batch_20260428_120204/sentenca_16_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_16_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_16_referencia.wav,166.72106819569728,176.6998551206546,115.2874871806046,
sentenca_17,checkpoint-10000/inference_batch_20260428_120204/sentenca_17_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_17_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_17_referencia.wav,176.75948768711524,189.25243904516643,80.42629037732138,
sentenca_18,checkpoint-10000/inference_batch_20260428_120204/sentenca_18_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_18_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_18_referencia.wav,223.79489670251792,219.23678765386785,74.64426818921713,
sentenca_19,checkpoint-10000/inference_batch_20260428_120204/sentenca_19_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_19_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_19_referencia.wav,125.81994805387339,132.13500571437308,76.9074030041192,
sentenca_1,checkpoint-10000/inference_batch_20260428_120204/sentenca_1_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_1_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_1_referencia.wav,227.51956957181855,214.79764312541718,63.320569158034345,
sentenca_20,checkpoint-10000/inference_batch_20260428_120204/sentenca_20_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_20_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_20_referencia.wav,158.92230540702303,171.13921034489962,57.27558500369418,
